work_location,dedication,contract_type,last_monthly_salary_or_net,job_type,experience_years,people_under_charge,used_platforms,used_technologies,used_frameworks,databases,qa_testing,max_studies_level,state,edu_institution,age,gender,salary_dollarized,seniority,salary
Río Negro,Full-Time,Contractor,1919000.0,Developer,6,0,Amazon Web Services,TypeScript,"Angular, Bootstrap",Ninguna de las anteriores,Karma,Universitario,Completo,UNS - Universidad Nacional del Sur,32,Hombre Cis,True,Senior,2133000.0
Buenos Aires,Full-Time,Staff (planta permanente),404000.0,Developer,3,0,"Amazon Web Services, Docker","Go, Java",Ninguno de los anteriores,Amazon DynamoDB,"JUnit, Postman",Terciario,Completo,UTN - Universidad Tecnológica Nacional,25,Hombre Cis,True,Semi-Senior,485000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),380000.0,Manager / Director,10,20,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Incompleto,UBA - Universidad de Buenos Aires,45,Hombre Cis,True,Senior,660000.0
Buenos Aires,Full-Time,Freelance,150000.0,Developer,0,0,Docker,".NET, C#, HTML, Javascript, SQL, TypeScript",".NET Core, Svelte",PostgreSQL,"Cypress, Jest, Xunit, Vitest",Universitario,En curso,UBA - Universidad de Buenos Aires,30,Hombre Cis,True,Junior,180000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1892829.636415973,SysAdmin / DevOps / SRE,4,0,"Docker, Kubernetes, Linux, Grafana",Bash/Shell,Ninguno de los anteriores,"MongoDB, PostgreSQL, Redis",Ninguna de las anteriores,Terciario,Incompleto,ORT,24,Hombre Cis,True,Semi-Senior,2200000.0
Córdoba,Full-Time,Contractor,1750000.0,SysAdmin / DevOps / SRE,8,0,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux","Bash/Shell, Python",Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, MySQL, Percona XtraBackup, Percona XtraDB Cluster, PostgreSQL, ProxySQL",Ninguna de las anteriores,Universitario,Completo,UNC - Universidad Nacional de Córdoba,38,Hombre Cis,True,Senior,1750000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1300000.0,Technical Leader,7,3,"Amazon Web Services, Docker, Google Cloud Platform, Linux",Python,Ninguno de los anteriores,"Amazon Redshift, Amazon RDS/Aurora, PostgreSQL",Ninguna de las anteriores,Universitario,Completo,UBA - Universidad de Buenos Aires,27,Hombre Cis,True,Senior,1700000.0
Santa Fe,Full-Time,Staff (planta permanente),308116.75,Data Scientist,0,0,"Docker, Google Cloud Platform, Linux, Serverless, Windows Server","Javascript, Python, SQL","Flask, Rails","Google Cloud Storage, MySQL, PostgreSQL, SQLite",Ninguna de las anteriores,Universitario,Completo,UTN - Universidad Tecnológica Nacional,25,Hombre Cis,True,Junior,371226.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),295000.0,Infosec,4,0,"Linux, VMWare",".NET, Assembler, C++, Python",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,En curso,UBA - Universidad de Buenos Aires,24,Mujer Cis,True,Semi-Senior,356000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1800000.0,SysAdmin / DevOps / SRE,3,0,"Docker, Kubernetes, Linux, VMWare","Groovy, Python",.NET Core,"MariaDB, MongoDB, MySQL, PostgreSQL, Redis",Postman,Terciario,Incompleto,ORT,48,Hombre Cis,True,Semi-Senior,2000000.0
Santa Fe,Full-Time,Freelance,348000.0,SysAdmin / DevOps / SRE,4,0,"Amazon Web Services, Docker, Linux, Jenkins, prometheus, grafana",Python,"Angular, Laravel, Node.js",PostgreSQL,Ninguna de las anteriores,Universitario,Incompleto,UTN - Universidad Tecnológica Nacional,29,Hombre Cis,True,Semi-Senior,348000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),547920.0,Developer,3,0,Ninguna de las anteriores,"CSS, HTML, Javascript",Node.js,Ninguna de las anteriores,Ninguna de las anteriores,Terciario,Completo,UTN - Universidad Tecnológica Nacional,33,Mujer Cis,True,Semi-Senior,535700.0
